"id";"cesky";"anglicky";"nemecky";"kategorie"
3418;přijít, Přijedeme, přijďte, Přijedou, Přijíždí;to come [came, come];kommen [gekommen, kam];Sloveso
3419;komentáře, komentářů;comments;die Kommentare;Podstatné jméno
3420;komentovat, komentuje, komentujeme, komentoval;to comment [commented, commented];kommentieren [kommentiert, kommentierte];Sloveso
3421;komerčně;commercial;kommerziell;Přídavné jméno
3422;spolužák;a classmate;der Mitschüler;Podstatné jméno
3423;spolužačkou, spolužačka, spolužačku;a classmate;die Mitschülerin;Podstatné jméno
3424;komodě, komodu, prádelník, komodou, komoda, komody;a chest of drawers;die Kommode;Podstatné jméno
3425;komodu, komoda, komodě;a chest of drawers;die Kommode;Podstatné jméno
3426;nepřijde, přijde, dochází;to come [came, come];kommen [gekommen (ist), kam];Sloveso
3427;komunálních volbách, komunální volby;municipal elections;die Kommunalwahlen;Fráze
3428;komunikační schopnost, schopnost komunikace;communication skill;die Kommunikationsfähigkeit;Podstatné jméno
3429;hovorný, komunikativně, otevřený, sdílný, komunikativní, komunikačních, komunikační;communicative;kommunikativ;Přídavné jméno
3430;nekomunikujeme, komunikovat, komunikujeme, sděluje;to communicate [communicate, communicated];kommunizieren [kommuniziert, kommunizierte];Sloveso
3431;komedie, komedii;a comedy;die Komödie;Podstatné jméno
3432;kompaktní, hustý, souvislý, pevný, přenosný;compact;kompakt;Přídavné jméno
3433;kompas, kompasu;a compass;der Kompass;Podstatné jméno
3434;kompatibilní, slučitelný, shodný, vhodný, souladný;compatible;kompatibel;Přídavné jméno
3435;dovedností, schopnostech, kompetence;abilities;die Fähigkeiten;Podstatné jméno
3436;dočista, úplná, kompletně, kompletní, samá, totální;complete;vollständig;Přídavné jméno
3437;složité, problematický, komplikovaně, složitou, problematické, komplikovaná, problematická;complex;komplex;Přídavné jméno
3438;skladatelem, skladatele, skladatelů, skladateli;a composer;der Komponist;Podstatné jméno
3439;kompozice, kompozici;a composition;die Komposition;Podstatné jméno
3440;kompost, kompostu;a compost;der Kompost;Podstatné jméno
3441;cukrárny, cukrárna, cukrárnu;a confectionery;die Konditorei;Podstatné jméno
3442;konferenci, poradách, konference, schůzí;a conference;die Konferenz;Podstatné jméno
3443;Konflikt, konfliktu, konfliktech, konflikt, rozpor, střetu, sporu, kolize, kolizi;a conflict;der Konflikt;Podstatné jméno
3444;Konflikty, konfliktů;conflicts;die Konflikte;Podstatné jméno
3445;království;a kingdom;das Königreich;Podstatné jméno
3446;konkrétně, konkrétních, konkrétní, konkrétnější, věcný;concrete;konkret;Přídavné jméno
3447;Konkurují, konkurovat, soutěží;to compete [competed, competed];konkurrieren [konkuriert, konkurrierte];Sloveso
3448;umějí, umět, moci, nemůžete, povídat, můžeme, dokážeme, nemohou, moct, neumíme, dokážou;to be able to;können [gekonnt, konnte, wird können];Sloveso
3449;mohli, mohly, Mohli;to be able;mögen [gemocht (hat), mochte, wird mögen];Sloveso
3450;nemohli, nedokázali;could not;konnten nicht;Sloveso
3451;konsensus, shoda, dohoda, souhlas;a consensus;die Einigung;Podstatné jméno
3452;důslední, důslednější, důsledně, důsledná, vytrvale;consistent;konsequent;Přídavné jméno
3453;důsledků, Důsledek, důsledek, důsledku;a consequence;die Folge;Podstatné jméno
3454;konzervativní, konzervativec;conservative;konservativ;Přídavné jméno
3455;zkonstruovat, budovali, zkonstruujeme, konstruuje, konstruují, buduje;to construct [constructed, constructed];konstruieren [konstruiert, konstruierte];Sloveso
3456;konstruktivní, tvořivý, pozitivní;constructive;konstruktiv;Přídavné jméno
3457;konzulát, konzulátu;a consulate;das Konsulat;Podstatné jméno
3458;konzumace, spotřeba, spotřebou, spotřebu;consumption;die Konsumierung;Podstatné jméno
3459;spotřebiteli, konzument, spotřebitelé, spotřebitel, spotřebitele;a consumer;der Konsument;Podstatné jméno
3460;kontakt;a contact;der Kontakt;Podstatné jméno
3461;kontaktní údaje;contact information;die Kontaktinformationen;Podstatné jméno
3462;otevřený, přátelský, družný, komunikativní, společenský, komunikativně;open;offen;Přídavné jméno
3463;kontextu, rámci, souvislosti, kontext;a context;der Kontext;Podstatné jméno
3464;kontinentu, kontinenty;a continent;der Kontinent;Podstatné jméno
3465;konto, účtu, účet, účtech, účtem;an account;das Konto;Podstatné jméno
3466;ovládání, ovládáním, dohledu;control;die Kontrolle;Podstatné jméno
3467;koncentrace, meditací, soustředění, koncentraci;concentration;die Konzentration;Podstatné jméno
3468;soustředit, soustředím, zaměřujeme, zaměřují, soustředíme, soustředil;to concentrate;konzentrieren [konzentriert, konzentrierte];Sloveso
3469;soustředěně, zaměřen, soustředěný, soustředěným;concentrated;konzentriert;Přídavné jméno
3470;koncept, koncepce, představ, představu, konceptu, myšlenek;a concept;das Konzept;Podstatné jméno
3471;koncert;a concert;der Konzert;Podstatné jméno
3472;koncerty, koncertů;concerts;die Konzerte;Podstatné jméno
3473;koncertní hala, síň, koncertní sál, sál, koncertní síň, síni;a concert hall;die Konzerthalle;Podstatné jméno
3474;kooperace, spolupráce, spolupráci;cooperation;die Kooperation;Podstatné jméno
3475;kooperativní, ochotný, vstřícný, spolupracující, kooperativně;cooperative;kooperativ;Přídavné jméno
3476;spolupracovat, kooperovat, jednáme, kooperativně;to cooperate;zusammenarbeiten [zusammenarbeitend, arbeitete, wird zusammenarbeiten];Sloveso
3477;koordinace, sladění, soulad, koordinování;coordination;die Koordination;Podstatné jméno
3478;koordinované;coordinated;koordiniert;Přídavné jméno
3479;Kodaň, Kodani, Kodaně;Copenhagen;die Kopenhagen;Podstatné jméno
3480;hlava, hlavě, hlavu, hlavičku, hlavou, hlavičce;a head;der Kopf;Podstatné jméno
3481;hlavička, hlavičkový míč, hlavičkování;a head;der Kopf;Podstatné jméno
3482;sluchátka, sluchátky;headphones;die Kopfhörer;Podstatné jméno
3483;polštáře, polštář;a pillow;das Kissen;Podstatné jméno
3484;zkopíruj, zkopíruješ, zkopírovat, kopíruji;to copy [copied, copied];kopieren [gekopiert, kopierte];Sloveso
3485;korálem, korál, korály;a coral;der Koralle;Podstatné jméno
3486;Koránu, Korán;the Koran;der Koran;Podstatné jméno
3487;vývrtka;a drill;die Bohrmaschine;Podstatné jméno
3488;tělo, postavě, těla, těle, tělu, body, tělesa;a body;das Körper;Podstatné jméno
3489;řeč těla, tělesná řeč;body language;die Körpersprache;Fráze
3490;správně;correctly;richtig;Příslovce
3491;korekce, korektura, korektury, korekturu, korektuře, oprava;a correction;die Korrektur;Podstatné jméno
3492;oprav, upravuji, opravit, opravovat, opravíme;to repair [repaired, repaired];reparieren [repariert, reparierte];Sloveso
3493;kosmetika;cosmetics;die Kosmetik;Podstatné jméno
3494;nestála, nestojí, stojí, ochutnávají;to stand [stood, stood];stehen [gestanden, stand];Sloveso
3495;výhodně;advantageously;günstig;Příslovce
3496;bezplatný, zdarma, bezplatná, bezplatnou;free;kostenlos;Přídavné jméno
3497;lahodně, chutnému;deliciously;lecker;Příslovce
3498;kostýmy, kostýmů;costumes;die Kostüme;Podstatné jméno
3499;kraba, krab;a crab;der Krabbe;Podstatné jméno
3500;lézt, plazit se, lézt po čtyřech, batolat;to crawl;kriechen  [gekriechen, kroch];Sloveso
3501;silou, silovém, síly, sil, sílu, energií;strength;die Kraft;Podstatné jméno
3502;vydatné, vydatného, výrazné, svalnatým, výrazná, svalnatí, svalnatějším, vydatný, vydatnými, mocné, svalnatý, svalnatých, vydatná, silného;powerful;mächtig;Přídavné jméno
3503;silový trénink, posilování, silový výcvik, silovém;strength training;Krafttraining;Podstatné jméno
3504;křeč, svalová křeč;a muscle spasm;die Krämpfe;Podstatné jméno
3505;pojišťovny, pojišťovně, pojišťovna, pojišťovnu;an insurance company;die Versicherung;Podstatné jméno
3506;sestra;a sister;die Schwester;Podstatné jméno
3507;pojišťovně, pojištění;insurance;die Versicherung;Podstatné jméno
3508;krutý, krutou, krutě, kruté;cruel;hart;Přídavné jméno
3509;kráter, jáma, prohlubeň, kaldera, krátery;a crater;der Krater;Podstatné jméno
3510;škrábat;to scratch [scratched, scratched];kratzen [gekratzt (ist), kratzte];Sloveso
3511;bylinkový čaj;a herbal tea;der Kräutertee;Podstatné jméno
3512;bylinkový čaj, bylinkový;herbal;kräuter-;Přídavné jméno
3513;kravatu, kravata;a tie;die Krawatte;Podstatné jméno
3514;kravatu, kravata;a tie;die Krawatte;Podstatné jméno
3515;kreativní;creative;kreativ;Přídavné jméno
3516;úvěr, úvěru, Úvěr, kredit;a credit;der Kredit;Podstatné jméno
3517;kartou, kartu, karta;a card;die Karte;Podstatné jméno
3518;kartou, kartu, karta;a card;die Karte;Podstatné jméno
3519;křídy, křída, křídou, křídu, křídě;chalk;die Kreide;Podstatné jméno
3520;kruh, kruhu, okruh, okresů;a circle;der Kreis;Podstatné jméno
3521;oběh, koloběh, cyklus, krevní oběh;a cycle;der Kreislauf;Podstatné jméno
3522;kruhovém objezdu, kruhovým objezdem, kruhový objezd, kruhovém;a roundabout;der Kreisverkehr;Podstatné jméno
3523;plavba, okružní plavba;a cruise;die Rundfahrt;Podstatné jméno
3524;křižovatka;a crossroads;die Kreuzung;Podstatné jméno
3525;křížovkou, křížovku, křížovky;a crossword puzzle;das Kreuzworträtsel;Podstatné jméno
3526;dostanou, mívám, seženu, nedostanete;"";"Sloveso|to get |bekommen ;""
Sloveso|have |haben
Sloveso|to get |besorgen
Sloveso|won't get |erhalten werdet"
3527;detektivku, detektivka, kriminálky;a detective story;die Krimiserie;Podstatné jméno
3528;krimi příběhy;crime stories;die Krimi-Geschichten;Fráze
3529;krizi, krize;a crisis;die Krise;Podstatné jméno
3530;kritiky, kritikou, kritiků, kritika, kritikovi, kritice, kritiku, výtku, kritikem, kritik, výtka;a criticism;die Kritik;Podstatné jméno
3531;kritici, recenzent, kritikář, kritik, odpůrci;a critic;der Kritiker;Podstatné jméno
3532;kritická, skeptický, skeptická, kritické, skepticky, kritický, skeptičtí, problematické;critical;kritisch;Přídavné jméno
3533;kritizuješ, odsuzují, odsuzovat, kritizuje, kritizují;to criticize [criticized, criticized];kritisieren [gekritiziert, kritisierte];Sloveso
3534;Krokodýl, krokodýl, krokodýla;a crocodile;der Krokodil;Podstatné jméno
3535;kuchyni, kuchyně, kuchyň, kuchyní;a kitchen;die Küche;Podstatné jméno
3536;koláč;a cake;der Kuchen;Podstatné jméno
3537;koláče, koláč, koláčů, dortu, koláčem;a cake;der Kuchen;Podstatné jméno
3538;kuchyňská váha, váhy;a kitchen scale;die Küchenwaage;Podstatné jméno
3539;kukačka, kukaččí pták, mladý kukačák;a cuckoo;die Kuckuck;Podstatné jméno
3540;kuličkové pero, kuličkovým perem, propiskou, propisek;a ballpoint pen;das Kugelschreiber;Podstatné jméno
3541;kuličkovým perem, kuličkové pero;a ballpoint pen;das Kugelschreiber;Podstatné jméno
3542;kráva, krávu;a cow;die Kuh;Podstatné jméno
3543;chladno, chladného, chladně, chladicí, studenému;cold;kalt;Přídavné jméno
3544;přenosná lednice, chladicí box, chladicí schránka, chladicí taška, chladicím;a cooler;die Kühlbox;Podstatné jméno
3545;lednici;a refrigerator;die Kühlschränke;Podstatné jméno
3546;kulturní výměna;cultural exchange;kultureller Austausch;Fráze
3547;kulturně, kulturnímu;cultural;kulturell;Přídavné jméno
3548;kulturním festivalu, kulturní festival, kulturním;a cultural festival;das kulturelle Festival;Podstatné jméno
3549;kulturní šok;culture shock;Kulturschock;Fráze
3550;kamaráda, kamarádem, kamarád, kámoš, kámošem;a friend;der Freund;Podstatné jméno
3551;zákazník;a customer;der Kunde;Podstatné jméno
3552;zákazníků, zákazníky, klienty, zákazníka, zákazníkům, odběratelům, zákaznického;customers;die Kunden;Podstatné jméno
3553;zákaznický servis, zákaznická podpora, servis zákazníkům, zákaznický servisní oddělení, zákaznická linka;customer service;der Kundenservice;Podstatné jméno
3554;číslo zákazníka, zákaznické číslo, číslo klienta;customer number;die Kundennummer;Podstatné jméno
3555;zákaznickým, zákaznickému, zákaznický, servis, servisu, zákaznický servis, servisem;customer service;der Kundenservice;Podstatné jméno
3556;vypovím, vypovědět, odstoupit, odvolat;to tell;erzählen  [erzählte, erzählt];Sloveso
3557;zákaznicí, zákaznice, zákaznici;a customer;die Kundin;Podstatné jméno
3558;klienti, zákazníci, zákazník, klientela, zákaznictvo;customers;die Kunden;Podstatné jméno
3559;v budoucnu;in the future;in Zukunft;Fráze
3560;umělecká hala, výstavní síň, galerie, kunsthalle;an art gallery;die Kunsthalle;Podstatné jméno
3561;umělce;artists;die Künstler*innen;Podstatné jméno
3562;umělcem, umělcům, umělce, umělců, účinkující;an artist;der Künstler;Podstatné jméno
3563;výtvarný, umělecky, umělecká;artistic;künstlerisch;Přídavné jméno
3564;muzeum, muzea;a museum;das Museum;Podstatné jméno
3565;umělecké muzeum, Umělecké muzeum, muzea, uměleckého muzea, muzeum;an art museum;das Kunstmuseum;Podstatné jméno
3566;umělecký projekt;an art project;das Kunstprojekt;Podstatné jméno
3567;plastem;plastic;das Plastik;Podstatné jméno
3568;umělecká terapie, arteterapie, arteterapií, arteterapii;art therapy;die Kunsttherapie;Podstatné jméno
3569;díle, dílo, uměleckém, výtvor, dílem;a work;das Werk;Podstatné jméno
3570;kurzu, kurzem, kurs, kroužek, ročníku, kurz, směrů, kurzy;a course;der Kurs;Podstatné jméno
3571;kurz;a course;der Kurs;Podstatné jméno
3572;krátkých, stručnou, krátce, stručně, kratším, nakrátko, stručné, stručná;short;kurz;Přídavné jméno
3573;zkracovat, zkrátil, zkrátit, stříhají, zkracujete, zkrátila, zkracují, stříháš, ostříháš, zkraťte, zkrátíme;to shorten [shortened, shortened];verkürzen [verkürzt, verkürzte];Sloveso
3574;klip, film, klipů, klipu;a clip;der Clip;Podstatné jméno
3575;povídce, povídka, povídky, povídku;a story;die Erzählung;Podstatné jméno
3576;nedávno;recently;kürzlich;Příslovce
3577;chovat se, mazlit se, tulit se, mazlíme, mazlí, přitulit, tulí, mazlit;to cuddle [cuddle, cuddled];kuscheln [geküscht (ist), küchelte];Sloveso
3578;zvířátko, hračku, plyšák, hračka, plyšáku;a toy;das Spielzeug;Podstatné jméno
3579;polibku, polibek;a kiss;ein Kuss;Podstatné jméno
3580;pobřeží, Pobřeží;a coastline;das Küstengebiet;Podstatné jméno
3581;úsměv, úsměvu, úsměvem;a smile;das Lächeln;Podstatné jméno
3582;losos, lososa;a salmon;der Lachs;Podstatné jméno
3583;nabíječku, nabíječka;a charger;die Ladegerät;Podstatné jméno
3584;nabíječky, nabíječka, nabíječku, nabíjecí, nabíječce;a charger;das Ladegerät;Podstatné jméno
3585;nabíjení, obchodu, butik, butikem, butiku;a shop;der Laden;Podstatné jméno
3586;nabíječce;a charger;das Ladegerät;Podstatné jméno
3587;poloha;a position;die Lage;Podstatné jméno
3588;leželo, ležely;to lie [lay, lain];liegen [gelegen, lag];Sloveso
3589;zásoba, tábora, tábor, zásob, táborového, zásobu, táboře, zásobě, úložiště;a supply;das Lager;Podstatné jméno
3590;skladujete, skladujeme, stanujeme, skladují, skladovat;to store [stored, stored];lagern [gelagert (ist), lagerte];Sloveso
3591;bezlaktózový;lactose-free;laktosefrei;Přídavné jméno
3592;jehňátko, jehně, jehněčí, jehňata;a lamb;das Lamm;Podstatné jméno
3593;lampami, lampu, lampou, lampa, svítilna;a lamp;die Lampe;Podstatné jméno
3594;tréma, trémy, Tréma, trému, trémě;a diaeresis;die Trema;Podstatné jméno
3595;souši, země, venkově, zemi, souš;land;die Erde;Podstatné jméno
3596;přistál, přistát, přistávají, přistaneme, přistává;to land [landed, landed];landen [gelandet, landete];Sloveso
3597;země, Země, zemích, zemí, krajiny;a country;das Land;Podstatné jméno
3598;celostátní;national;staatlich;Přídavné jméno
3599;mapa, mapu;a map;die Karte;Podstatné jméno
3600;mapa, mapu;a map;die Karte;Podstatné jméno
3601;venkovsky;a village;ein Dorf;Podstatné jméno
3602;krajina;a landscape;die Landschaft;Podstatné jméno
3603;přistání, Přistání, příletu;a landing;das Landeflugzeug;Podstatné jméno
3604;dlouhá, dlouhé, dlouhý, dlouhému;long;lang;Přídavné jméno
3605;dlouho;long;langsam;Příslovce
3606;délka, délku;a length;die Länge;Podstatné jméno
3607;dlouho jsme se neviděli;We haven't seen each other for a long time.;Wir haben uns lange nicht gesehen;Fráze
3608;nudu, Nuda, nudě;boredom;die Langeweile;Podstatné jméno
3609;dlouhodobá, dlouhodobý, dlouhodobě;long-term;langfristig;Přídavné jméno
3610;odolný, dlouhotrvající, dlouhodobý, trvanlivý, trvanlivým;durable;widerstandsfähig;Přídavné jméno
3611;nudným, nudná, nezajímavý, nezajímavou, nudně, nezajímavá;boring;langweilig;Přídavné jméno
3612;hadrem, hadr, hadry, hadru, utěrkou;a cloth;das Tuch;Podstatné jméno
3613;laptop;a laptop;der Laptop;Podstatné jméno
3614;Pojďme;let's go;kommen;Sloveso
3615;nechali, necháváme, nechává, nechat, nechávají, nechávali, necháme, ponechává, pustil, daly, pouštěl;to let [let, let];lassen [gelassen (ist), ließ];Sloveso
3616;neformální, ležérně;informal;informell;Přídavné jméno
3617;tíhu, břemeno, náklad, zátěží;a burden;die Last;Podstatné jméno
3618;vůz, vozů, nákladní, vozy, kamion;a truck;der LKW;Podstatné jméno
3619;běhu, utíkej, Běh, rysem;to run;laufen;Sloveso
3620;kariérním, kariéru, kariérovém;career;karierisch;Přídavné jméno
3621;pásu, běžecký, pás, běžecký pás, běžeckém, běžeckém pásu, běžecké;a treadmill;der Laufband;Podstatné jméno
3622;sprintovat, běhat, sprintují, půjdou, pobíhají, běžela, přebíhají, poběží, utíkat, běhají, běháme, běžíš, neběhají, poběžíš, pobíhá, chodily, fungoval, sprintuje;to sprint/run [sprinting/ran, sprinted];sprintern [gesprintt (ist), sprintte];Sloveso
3623;běhá, běží, utíká, neběží;to run [ran, run];laufen [gelaufen (ist), lief];Sloveso
3624;hlasitou, hlučnému, hlučném, hlasitému;loud;laut;Přídavné jméno
3625;reproduktorů, reproduktor, reproduktory, reproduktoru;a speaker;die Lautsprecher;Podstatné jméno
3626;hlasitost, Hlasitost, hlasitosti;loudness;die Lautstärke;Podstatné jméno
3627;životů, života, vida, žijeme, životě, Život, životu, život, životy;a life;das Leben;Podstatné jméno
3628;živo, živě, živí, živých, živém;alive;lebend;Přídavné jméno
3629;životní událost, životní zážitek, životní zkušenost;a life event;das Lebensereignis;Podstatné jméno
3630;životní náklady, náklady na živobytí, životní výdaje;living expenses;die Lebenshaltungskosten;Podstatné jméno
3631;životní situace, životní podmínky, životní okolnosti, situace;a situation;die Situation;Podstatné jméno
3632;potraviny, potravin;groceries;die Lebensmittel;Podstatné jméno
3633;životní partner, partner, partnerka;a life partner;der Lebensgefährte/die Lebensgefährtin;Podstatné jméno
3634;kvalita života, životní úroveň, životní kvalita;quality of life;die Lebensqualität;Fráze
3635;živobytí, obživa, výdělek, příjem;a livelihood;das Lebensunterhalt;Podstatné jméno
3636;životní způsob, způsob života, životní styl, způsobu;a lifestyle;der Lebensstil;Podstatné jméno
3637;bytost, bytosti;a being;die Wesen;Podstatné jméno
3638;živé, živo, rušné, čile, bujný, čilé, bouřlivá, rušných, bujaré, bujarý, rušná, živých, bujará, aktivnějším;lively;lebhaft;Přídavné jméno
3639;perníkové srdce;a gingerbread heart;das Lebkuchenherz;Podstatné jméno
3640;chutná, chutné, chutný;tasty;lecker;Přídavné jméno
3641;kůže;skin;die Haut;Podstatné jméno
3642;kalhoty;pants;die Hose;Podstatné jméno
3643;úšklebek, prázdná;a smile, an emptiness;ein Lächeln, die Leere;Podstatné jméno
3644;dyslexie, porucha učení, specifická porucha učení;dyslexia;die Dyslexie;Podstatné jméno
3645;složili, složíme, předkládáte, kladou, dávejte, položíme, skládala, pokládá, skládal, skládám, skládáte, položit, pokládáme, sází, složte;to lay [laid, laid];legen [gelegt, legte];Sloveso
3646;legendární, proslulé, legendárním, proslulými;legendary;legendär;Přídavné jméno
3647;pověst, popisku, legendách, legenda, popisek, fámu, legendu, fáma;a legend;die Legende;Podstatné jméno
3648;učebnici, učebnice;a textbook;der Lehrbuch;Podstatné jméno
3649;nauč, vyučoval, naučily, přiučím, vyučuje;to teach [taught, taught];lehren [gelehrt (ist), lehrte];Sloveso
3650;učitel, učitelé, učitelů;a teacher;der Lehrer;Podstatné jméno
3651;učitel, učitelé, učitelů;a teacher;der Lehrer;Podstatné jméno
3652;Učitelka, učitelka;a teacher;die Lehrerin;Podstatné jméno
3653;učitelka, Učitelka, učitelkou, učitelce, učitelky;a teacher;die Lehrerin;Podstatné jméno
3654;naučnou, poučné, poučná, poučnou, informativní, poučný, naučné, naučná;educational;lehrreich;Přídavné jméno
3655;lehká, lehké, lehký;light;leicht;Přídavné jméno
3656;lehce zraněná;slightly injured;leicht verletzt;Přídavné jméno
3657;trpíme, snášejí, snášíme;to suffer;leiden [gelitten, litt, wird leiden];Sloveso
3658;vášní, vášeň;passion;die Leidenschaft;Podstatné jméno
3659;vroucí, bouřlivá, bouřlivo, vášnivě, vášnivý;passionate;leidenschaftlich;Přídavné jméno
3660;bohužel;unfortunately;leider;Citoslovce
3661;půjčili, nepůjčuji, půjčujeme, půjčím, půjčil, půjčit, půjč;to lend [lent, lent];leihen [geliehen (ist), lieh];Sloveso
3662;šňůra, šňůře, vodítko, šňůru;a leash;das Band;Podstatné jméno
3663;plátno, obrazovka, plátně;a canvas;das Leinwand;Podstatné jméno
3664;Lipsku, Lipska;Lipsk;Leipzig;Podstatné jméno
3665;tiché;quiet;still;Přídavné jméno
3666;výkonnými, schopné, výkonný, výkonná;powerful;leistungsfähig;Přídavné jméno
3667;úvodník, úvodníkem, úvodníku;an introduction;der Einleitungsartikel;Podstatné jméno
3668;přivedl, diriguje, řídili, vedla, provedu, vedlo, zavedu, vládl, přivede, vést, řídíš, uvedl;to lead [led, led];führen [geführt (ist), führte];Sloveso
3669;ochotný se učit, připravený se učit, učenlivý, otevřený učení;willing to learn;lernbegierig;Přídavné jméno
3670;učím se;to learn [learned, learned];lernen [gelernt (hat), lernte];Sloveso
3671;skupinu, skupiny, skupina, skupině;a group;die Gruppe;Podstatné jméno
3672;materiál;a material;der Material;Podstatné jméno
3673;potíže s učením, problémy s učením, obtíže při učení, potíže při učení, problémy v učení;learning difficulties;Schwierigkeiten beim Lernen;Fráze
3674;čitelné, čitelně, čitelný, zřetelnější, čitelnější;readable;leserlich;Přídavné jméno
3675;čtenáři, čtenář, čtenáře;a reader;ein Leser;Podstatné jméno
3676;čtenářský dopis, dopis čtenáře;a reader's letter;der Leserbrief;Podstatné jméno
3677;záložku, záložka;a bookmark;die Lesezeichen;Podstatné jméno
3678;poslední;last;letzte;Přídavné jméno
3679;nedávno;recently;kürzlich;Příslovce
3680;popřela, popírat, popřít, popíráš, popírá;to deny;verweigern [verweigert, verweigerte];Sloveso
3681;lidí;people;die Menschen;Podstatné jméno
3682;lidi, lidí, lidech;people;die Menschen;Podstatné jméno
3683;Libanonem, Libanon, Libanonu;Lebanon;der Libanon;Podstatné jméno
3684;liberální;liberal;liberal;Přídavné jméno
3685;světlo, světla;a light;das Licht;Podstatné jméno
3686;světla, světlem, světlo, světle, světly, svítilna;a light;das Licht;Podstatné jméno
3687;vypínače, vypínač;a switch;der Schalter;Podstatné jméno
3688;pozdravovat;to greet;begrüßen [begrüßt (ist), begrüßte];Sloveso
3689;láskyplné pozdravy;loving greetings;liebe Grüße;Fráze
3690;milujeme;to love [loved, loved];lieben [geliebt (ist), liebte];Sloveso
3691;Raději, radši, snáz;rather;gern;Příslovce
3692;bolest ze zlomeného srdce;heartbreak;Herzschmerz;Fráze
3693;oblíbené jídlo;a favorite dish;das Lieblingsessen;Podstatné jméno
3694;oblíbené jídlo;a favorite dish;das Lieblingsessen;Podstatné jméno
3695;písní, písničky;a song;das Lied;Podstatné jméno
3696;utíkali, běhali, běželi, běžely;to run [ran, run];laufen [gelaufen (ist), lief];Sloveso
3697;dodací adresa, adresa doručení, adresa dodání;a delivery address;die Lieferadresse;Podstatné jméno
3698;rozvoz, rozvozovou;a delivery;der Lieferdienst;Podstatné jméno
3699;lhůta dodání, termín dodání, datum dodání, dodání;delivery date;die Lieferfrist;Fráze
3700;dodávku, dodávka;a delivery;die Lieferung;Podstatné jméno
3701;dodací lhůta, doba dodávky, doba dodání, dodací;delivery time;die Lieferfrist;Podstatné jméno
3702;ležet, leží, ležíte, nacházel;to lie [lay, lain];liegen [gelegen, lag];Sloveso
3703;lehátko, Lehátko, lehátka, lehátku;a cot;das Kinderbett;Podstatné jméno
3704;klik, kliky;a click;die Klicks;Podstatné jméno
3705;přečte, čteš, čte, nečte;to read [read, read];lesen [gelesen, las];Sloveso
3706;lajky, lajků;likes;die Likes;Podstatné jméno
3707;likér;a liqueur;der Likör;Podstatné jméno
3708;limonáda;a lemonade;die Limonade;Podstatné jméno
3709;pravítko, Pravítko;a ruler;das Maßband;Podstatné jméno
3710;lince, linka, čára, linky, linku, čárovým;a line;die Linie;Podstatné jméno
3711;odkazu, odkaz, odkazy;a reference;der Hinweis;Podstatné jméno
3712;levé, levý, levá;left;links;Přídavné jméno
3713;vlevo;left;links;Příslovce
3714;ret;a ret;das Ret;Podstatné jméno
3715;rtěnka, rtěnku;a lipstick;die Lippenstift;Podstatné jméno
3716;Liso, Lisy, Lisa, Lise;a Lisa;die Lisa;Podstatné jméno
3717;list, seznamem, seznamu, listě;a list;die Liste;Podstatné jméno
3718;litr, litry;a liter;der Liter;Podstatné jméno
3719;literatuře, literatura, literaturu, literatury;literature;die Literatur;Podstatné jméno
3720;licence, povolení, oprávnění, koncese;a permit;die Lizenz;Podstatné jméno
3721;nákladní auto, kamion, návěs, tahač;a truck;der LKW;Podstatné jméno
3722;pochval, pochvala, pochvalu, pochvaly, chválu;praise;die Lob;Podstatné jméno
3723;pochválí, chválen, chválit, pochválit, Chválíme, chválí, pochváleni;to praise [praised, praised];lob(en) [gelobt, lobte];Sloveso
3724;kudrnaté, kudrnatou;curly;korkenzietig;Přídavné jméno
3725;lžic, lžíce;a spoon;ein Löffel;Podstatné jméno
3726;lžíci, lžíce, lžičku, lžic, lžičkou, lžící, lžička;a spoon;ein Löffel;Podstatné jméno
3727;logiku, logice, logika;logic;die Logik;Podstatné jméno
3728;logicky, logický, logické, logická;logical;logisch;Přídavné jméno
3729;lokále, lokál, lokálu;a local;die Lokale;Podstatné jméno
3730;regionálních, podniku, podnik, místními, místních, místního, lokálně;a company;das Unternehmen;Podstatné jméno
3731;lokalizovat;to localize;lokalisieren [lokalisiert, lokalisierte, wird lokalisiert];Sloveso
3732;Londýně, Londýna;London;London;Podstatné jméno
3733;vyjede, pojedu, vyrazit, odjedete, rozjedou, vyjeďme, vyjet, rozjet, vyrazím, odcestujme, vyjedeme;to leave;fahren [gefahren (ist), fuhr];Sloveso
3734;začnou, vyrazit, vyrazím, odstartovala;to start;starten [gestartet (ist), startete];Sloveso
3735;spustit, pustil, opusť, pustit, pouštěl;to release [released, released];lassen [gelassen, ließ, wird gelassen];Sloveso
3736;pustí, pustíš;to let [let, let];lassen [gelassen (ist), ließ];Sloveso
3737;řešení;a solution;die Lösung;Podstatné jméno
3738;způsob řešení, cesta řešení, metoda řešení, postup řešení, přístup;a way of solving;die Lösungsmethode;Podstatné jméno
3739;loajální, věrný, oddaný;loyal;loyale;Přídavné jméno
3740;vzduch, ovzduší, vzduchu;air;die Luft;Podstatné jméno
3741;znečištění ovzduší, znečištění vzduchu;air pollution;die Luftverschmutzung;Podstatné jméno
3742;lež;a lie;eine Lüge;Podstatné jméno
3743;lhaní, Lže, nelhat;to lie [lied, lied];lügen [gelogen (ist), log];Sloveso
3744;chuť;a taste;der Geschmack;Podstatné jméno
3745;chuť na;craving for;Lust auf;Fráze
